Date,Open,High,Low,Close,Adj Close,Volume
2009-03-30,7782.200195,7788.000000,7589.100098,7601.100098,7601.092285,269200
2009-03-31,7644.299805,7815.000000,7639.700195,7815.000000,7814.992188,224600
2009-04-01,7761.299805,8002.000000,7637.200195,7961.000000,7960.991699,298800
2009-04-02,8115.799805,8347.400391,8102.700195,8334.700195,8334.691406,411800
2009-04-03,8280.599609,8410.700195,8245.299805,8319.900391,8319.891602,302400
2009-04-06,8435.000000,8502.200195,8224.500000,8321.099609,8321.090820,276000
2009-04-07,8403.000000,8455.700195,8247.599609,8346.000000,8345.991211,268200
2009-04-08,8210.799805,8415.299805,8175.100098,8404.700195,8404.691406,198400
2009-04-09,8457.599609,8714.000000,8400.099609,8704.799805,8704.791016,261600
2009-04-14,8688.299805,8862.900391,8677.500000,8834.799805,8834.791016,418000
2009-04-15,8748.299805,8825.299805,8662.900391,8711.900391,8711.891602,302800
2009-04-16,8790.900391,8925.799805,8703.799805,8874.500000,8874.491211,273600
2009-04-17,8898.299805,9030.900391,8803.000000,9030.900391,9030.891602,349000
2009-04-20,8988.299805,9018.099609,8672.000000,8718.200195,8718.191406,289000
2009-04-21,8706.700195,8758.799805,8413.599609,8615.799805,8615.791016,352000
2009-04-22,8608.200195,8838.599609,8547.299805,8834.099609,8834.090820,294800
2009-04-23,8777.799805,8876.299805,8717.700195,8769.200195,8769.191406,225600
2009-04-24,8768.700195,8905.200195,8730.799805,8888.200195,8888.191406,247400
2009-04-27,8739.900391,8799.799805,8633.799805,8777.000000,8776.991211,286200
2009-04-28,8619.200195,8706.900391,8503.700195,8656.299805,8656.291016,287400
2009-04-29,8730.099609,8933.599609,8697.000000,8891.299805,8891.291016,284600
2009-04-30,8986.900391,9100.799805,8957.299805,9038.000000,9037.991211,315200
2009-05-04,9048.099609,9096.000000,8927.599609,9074.700195,9074.691406,235600
2009-05-05,9065.200195,9195.599609,9037.500000,9136.700195,9136.691406,284200
2009-05-06,9119.700195,9272.900391,9086.599609,9229.000000,9228.990234,258800
2009-05-07,9292.200195,9443.900391,9175.900391,9228.900391,9228.890625,334400
2009-05-08,9310.099609,9443.700195,9278.599609,9408.099609,9408.089844,286200
2009-05-11,9457.599609,9460.299805,9232.200195,9316.799805,9316.790039,261000
2009-05-12,9196.900391,9377.799805,9181.900391,9269.000000,9268.990234,308400
2009-05-13,9320.099609,9351.200195,8982.500000,9000.599609,9000.590820,341600
2009-05-14,8979.299805,9002.700195,8838.500000,8984.200195,8984.191406,255000
2009-05-15,9035.400391,9085.000000,8922.099609,8978.599609,8978.590820,219600
2009-05-18,8879.500000,9163.200195,8828.500000,9159.299805,9159.290039,238800
2009-05-19,9251.700195,9387.299805,9232.799805,9341.599609,9341.589844,263400
2009-05-20,9356.900391,9449.400391,9261.099609,9389.400391,9389.390625,289800
2009-05-21,9282.400391,9299.900391,9180.599609,9225.299805,9225.290039,193200
2009-05-22,9250.099609,9378.200195,9206.400391,9308.599609,9308.589844,194000
2009-05-25,9336.799805,9371.700195,9175.599609,9347.400391,9347.390625,97800
2009-05-26,9294.700195,9438.799805,9209.599609,9405.700195,9405.690430,224600
2009-05-27,9449.000000,9522.000000,9422.900391,9510.799805,9510.790039,249200
2009-05-28,9407.000000,9496.000000,9368.500000,9435.500000,9435.490234,209000
2009-05-29,9519.299805,9555.599609,9413.099609,9424.299805,9424.290039,239000
2009-06-01,9554.799805,9671.599609,9538.500000,9630.900391,9630.890625,214400
2009-06-02,9566.099609,9708.799805,9554.400391,9664.799805,9664.790039,243400
2009-06-03,9706.700195,9713.599609,9426.500000,9464.799805,9464.790039,240800
2009-06-04,9484.500000,9530.500000,9375.299805,9454.599609,9454.589844,192400
2009-06-05,9505.900391,9626.599609,9455.200195,9519.000000,9518.990234,231600
2009-06-08,9485.000000,9498.500000,9341.900391,9396.200195,9396.190430,189000
2009-06-09,9460.299805,9536.200195,9435.799805,9497.700195,9497.690430,193200
2009-06-10,9618.700195,9706.400391,9605.900391,9627.599609,9627.589844,228800
2009-06-11,9624.799805,9738.599609,9618.900391,9708.400391,9708.390625,181000
2009-06-12,9688.299805,9741.200195,9651.799805,9714.400391,9714.390625,157400
